REGION,TECHNOLOGY,YEAR,VALUE
RE1,DEMINDBAGBOI_HIG,2030,99999.0
RE1,DEMINDBAGBOI_HIG,2031,99999.0
RE1,DEMINDBAGBOI_HIG,2032,99999.0
RE1,DEMINDBAGBOI_HIG,2033,99999.0
RE1,DEMINDBAGBOI_HIG,2034,99999.0
RE1,DEMINDBAGBOI_HIG,2035,99999.0
RE1,DEMINDBAGBOI_HIG,2036,99999.0
RE1,DEMINDBAGBOI_HIG,2037,99999.0
RE1,DEMINDBAGBOI_HIG,2038,99999.0
RE1,DEMINDBAGBOI_HIG,2039,99999.0
RE1,DEMINDBAGBOI_HIG,2040,99999.0
RE1,DEMINDBAGBOI_HIG,2041,99999.0
RE1,DEMINDBAGBOI_HIG,2042,99999.0
RE1,DEMINDBAGBOI_HIG,2043,99999.0
RE1,DEMINDBAGBOI_HIG,2044,99999.0
RE1,DEMINDBAGBOI_HIG,2045,99999.0
RE1,DEMINDBAGBOI_HIG,2046,99999.0
RE1,DEMINDBAGBOI_HIG,2047,99999.0
RE1,DEMINDBAGBOI_HIG,2048,99999.0
RE1,DEMINDBAGBOI_HIG,2049,99999.0
RE1,DEMINDBAGBOI_HIG,2050,99999.0
RE1,DEMINDBAGBOI_HIG,2051,99999.0
RE1,DEMINDBAGBOI_HIG,2052,99999.0
RE1,DEMINDBAGBOI_HIG,2053,99999.0
RE1,DEMINDBAGBOI_HIG,2054,99999.0
RE1,DEMINDBAGBOI_HIG,2055,99999.0
RE1,DEMINDBAGBOI_LOW,2022,99999.0
RE1,DEMINDBAGBOI_LOW,2023,99999.0
